0 2 4
0 9 3
0 75 1
0 76 5
0 20 1
0 22 1
1 19 5
1 76 2
1 77 1
1 6 2
2 39 5
2 10 3
2 77 3
2 78 4
2 17 1
2 42 1
3 48 4
3 34 5
3 11 4
3 78 5
3 79 5
4 68 1
4 7 2
4 13 4
4 79 2
4 80 2
4 55 2
5 80 1
5 81 4
6 12 3
6 81 1
6 82 1
6 23 1
6 56 3
6 28 5
7 32 3
7 51 1
7 8 2
7 14 3
7 82 4
7 83 1
7 31 2
8 16 4
8 33 5
8 83 2
8 84 5
9 44 4
9 75 1
9 84 5
10 40 5
10 75 2
10 76 5
10 21 1
11 76 1
11 77 4
12 77 4
12 78 3
12 15 2
13 18 2
13 78 4
13 79 1
14 80 4
14 25 4
14 24 3
14 30 4
14 79 4
15 80 5
15 81 5
16 81 3
16 82 2
17 49 2
17 82 3
17 83 1
17 38 3
18 41 1
18 83 5
18 84 4
18 29 1
18 70 1
19 75 2
19 84 4
20 75 3
20 76 2
21 26 4
21 59 5
21 76 3
21 77 4
22 77 2
22 78 3
23 73 4
23 27 4
23 78 5
23 79 1
24 80 3
24 50 1
24 61 3
24 79 4
25 80 1
25 81 3
25 66 1
25 36 5
26 81 1
26 82 4
26 43 2
27 82 2
27 83 2
28 83 4
28 84 4
29 65 2
29 75 5
29 84 2
30 75 4
30 76 3
31 60 5
31 76 3
31 77 3
31 63 2
32 35 1
32 52 1
32 77 4
32 78 3
32 47 2
33 78 1
33 79 1
34 80 5
34 45 2
34 79 2
35 80 4
35 81 5
36 81 3
36 82 3
36 37 1
36 54 2
37 82 2
37 83 5
37 46 3
38 83 4
38 84 2
39 57 2
39 75 4
39 84 4
40 75 4
40 76 3
41 76 3
41 77 4
42 64 1
42 77 3
42 78 3
42 53 1
43 78 4
43 79 1
44 80 1
44 74 1
44 79 2
45 80 1
45 81 4
46 81 5
46 82 2
46 58 1
46 62 3
47 82 5
47 83 2
48 67 2
48 83 5
48 84 1
49 75 1
49 84 4
50 75 4
50 76 5
51 72 4
51 76 1
51 77 3
52 77 5
52 78 1
52 69 2
53 78 3
53 79 4
54 80 3
54 79 5
55 80 4
55 81 2
56 81 5
56 82 2
56 71 5
57 82 5
57 83 5
58 83 5
58 84 3
59 75 2
59 84 4
60 75 5
60 76 2
61 76 2
61 77 4
62 77 3
62 78 3
63 78 2
63 79 4
64 80 3
64 79 5
65 80 1
65 81 5
66 81 4
66 82 3
67 82 1
67 83 4
68 83 4
68 84 2
69 75 2
69 84 2
70 75 1
70 76 1
71 76 4
71 77 2
72 77 4
72 78 2
73 78 5
73 79 2
74 80 4
74 79 1
75 85 3
75 86 3
75 87 4
75 88 3
75 89 3
75 90 1
75 91 3
75 92 4
75 93 2
75 94 5
75 95 4
75 96 5
75 97 1
75 98 2
75 99 5
76 85 1
76 86 5
76 87 1
76 88 3
76 89 2
76 90 2
76 91 1
76 92 1
76 93 2
76 94 1
76 95 4
76 96 2
76 97 4
76 98 5
76 99 5
77 85 3
77 86 3
77 87 3
77 88 2
77 89 2
77 90 2
77 91 1
77 92 2
77 93 2
77 94 1
77 95 1
77 96 4
77 97 3
77 98 2
77 99 4
78 85 3
78 86 3
78 87 5
78 88 1
78 89 1
78 90 2
78 91 3
78 92 4
78 93 3
78 94 4
78 95 3
78 96 1
78 97 1
78 98 2
78 99 3
79 85 2
79 86 4
79 87 3
79 88 4
79 89 2
79 90 5
79 91 4
79 92 5
79 93 1
79 94 4
79 95 3
79 96 1
79 97 2
79 98 3
79 99 4
80 85 1
80 86 2
80 87 3
80 88 3
80 89 2
80 90 4
80 91 4
80 92 1
80 93 1
80 94 2
80 95 1
80 96 2
80 97 3
80 98 2
80 99 3
81 85 5
81 86 2
81 87 5
81 88 3
81 89 4
81 90 2
81 91 5
81 92 1
81 93 5
81 94 5
81 95 2
81 96 3
81 97 4
81 98 2
81 99 3
82 85 1
82 86 2
82 87 2
82 88 1
82 89 2
82 90 5
82 91 1
82 92 5
82 93 3
82 94 4
82 95 5
82 96 5
82 97 4
82 98 5
82 99 1
83 85 5
83 86 5
83 87 3
83 88 2
83 89 5
83 90 4
83 91 5
83 92 4
83 93 4
83 94 1
83 95 4
83 96 5
83 97 4
83 98 5
83 99 3
84 85 5
84 86 4
84 87 1
84 88 1
84 89 3
84 90 3
84 91 3
84 92 4
84 93 2
84 94 4
84 95 4
84 96 1
84 97 1
84 98 1
84 99 2
85 92 4
86 93 4
87 97 1
88 98 3
89 96 4
90 95 5
91 98 5
92 97 1
93 94 3
94 100004 50
95 100003 50
95 100004 50
96 100001 50
96 100002 50
97 100000 50
98 100000 50
98 100002 50
99 100000 50
99 100001 50
99 100002 50
99 100003 50
99 100004 50
-2 0 50
-2 1 50
-2 4 50
-5 0 50
-5 1 50
-5 5 50
-4 3 50
-4 4 50
-4 5 50
-3 0 50
-3 3 50
-3 4 50
-1 0 50
-1 3 50
-1 5 50
