0 2 4
0 6 5
0 39 2
0 8 1
0 9 3
0 14 2
0 17 5
0 46 5
0 22 1
0 41 3
0 24 1
0 28 3
1 32 2
1 3 4
1 38 3
1 49 1
1 9 5
1 39 4
1 17 1
1 35 5
1 20 5
1 43 1
1 24 4
1 27 2
2 34 5
2 35 2
2 38 3
2 7 4
2 9 2
2 39 5
2 45 4
2 47 3
2 16 5
2 15 4
2 30 1
3 4 1
3 41 2
3 42 2
3 11 1
3 12 2
3 46 4
3 21 1
3 22 4
3 24 1
3 26 3
3 27 4
4 34 5
4 36 5
4 5 1
4 40 2
4 44 5
4 48 1
4 17 3
4 18 5
4 27 4
4 30 4
4 37 5
5 37 3
5 6 3
5 8 5
5 10 4
5 14 5
5 15 2
5 21 5
5 23 3
5 25 1
5 26 5
5 38 2
6 33 4
6 41 1
6 43 5
6 44 4
6 13 3
6 14 2
6 47 3
6 46 1
6 22 4
6 28 4
7 35 4
7 36 3
7 40 2
7 41 1
7 34 2
7 18 3
7 19 2
7 20 1
7 9 1
7 25 1
7 30 5
8 39 2
8 41 2
8 14 4
8 47 5
8 48 3
8 18 3
8 19 2
8 25 1
8 30 2
8 31 2
9 35 1
9 32 1
9 40 3
9 46 2
9 47 2
9 14 2
9 22 3
9 25 3
10 41 2
10 11 2
10 44 5
10 14 5
10 15 1
10 49 4
10 20 5
10 21 1
10 24 5
10 47 5
10 28 1
11 33 1
11 45 5
11 36 3
11 41 4
11 13 5
11 15 4
11 35 2
11 23 3
11 28 2
11 42 4
12 32 4
12 38 4
12 45 1
12 14 4
12 20 5
12 22 2
12 24 4
12 26 5
12 27 4
12 28 4
12 31 2
13 32 5
13 36 5
13 37 3
13 40 4
13 42 2
13 45 5
13 14 4
13 47 5
13 25 2
13 29 3
14 46 1
14 23 2
14 25 5
14 26 4
15 36 5
15 41 1
15 48 2
15 17 4
15 18 1
15 23 1
15 26 4
15 29 2
16 33 2
16 35 5
16 37 1
16 38 2
16 39 1
16 40 2
16 43 1
16 44 3
16 47 2
16 19 2
16 23 1
17 33 1
17 34 3
17 36 5
17 42 3
17 46 4
17 19 3
17 32 4
17 22 5
18 34 2
18 37 4
18 39 4
18 44 4
18 47 3
18 25 1
18 28 1
18 29 2
19 36 3
19 43 5
19 45 3
19 20 2
19 21 3
19 23 2
19 24 3
19 29 1
20 37 5
20 38 3
20 42 1
20 45 1
20 49 5
20 25 4
20 27 2
20 29 2
20 30 5
20 31 3
21 34 2
21 36 1
21 37 1
21 39 4
21 41 5
21 43 3
21 47 5
21 49 2
21 25 1
21 27 5
21 42 1
22 35 4
22 37 4
22 42 4
22 46 2
22 23 3
22 25 4
22 29 3
22 30 1
22 31 1
23 33 4
23 35 1
23 37 4
23 42 5
23 44 5
23 45 3
23 26 2
23 28 2
24 37 5
24 33 4
24 40 1
24 43 1
24 46 2
24 47 1
24 49 5
24 26 5
24 30 3
25 35 4
25 43 2
25 49 2
25 26 4
25 37 5
26 35 5
26 40 2
26 41 3
26 45 1
26 27 3
26 29 2
26 37 1
27 34 2
27 37 3
27 38 2
27 42 5
27 48 3
27 28 4
27 30 2
27 31 1
28 34 3
28 43 4
28 40 4
28 42 1
28 44 2
28 45 1
28 46 5
29 32 2
29 34 5
29 39 4
29 45 5
29 48 5
29 49 5
29 30 5
29 31 1
30 33 5
30 34 4
30 39 5
30 43 3
30 44 3
30 48 4
31 49 5
31 38 4
31 39 2
31 42 4
31 43 4
31 44 4
31 45 4
31 46 4
31 40 5
32 33 5
32 34 5
32 35 4
32 36 3
32 38 1
32 40 4
32 41 5
32 44 2
32 48 3
33 34 4
33 43 2
33 38 3
33 40 3
33 44 4
33 47 3
33 49 3
34 40 2
34 41 3
34 43 3
35 48 3
35 44 4
35 46 1
35 49 4
36 37 2
36 38 1
36 43 5
36 45 1
36 47 3
36 48 4
37 42 3
38 41 4
38 42 2
38 43 4
38 47 3
39 49 3
39 40 4
39 44 1
39 45 1
39 46 4
40 48 5
40 49 2
41 46 1
41 42 1
42 49 1
43 47 3
44 100002 50
44 48 2
44 46 4
44 100000 50
45 48 4
45 49 2
46 100000 50
46 48 2
46 100003 50
47 100000 50
47 48 3
47 100004 50
47 100002 50
47 100001 50
48 100002 50
48 49 2
48 100003 50
49 100004 50
-2 4 50
-2 5 50
-5 0 50
-5 1 50
-5 3 50
-4 0 50
-4 1 50
-4 2 50
-3 1 50
-3 2 50
-3 4 50
-1 0 50
-1 2 50
-1 3 50
