0 1 2
0 2 10
0 3 1
0 31 8
1 16 8
1 2 6
1 3 5
1 7 1
2 3 3
2 5 3
3 4 6
3 31 3
4 5 3
4 9 4
4 10 4
4 18 9
4 25 5
5 6 10
5 7 4
5 13 4
5 14 1
6 7 5
6 12 3
6 13 9
6 24 8
6 28 1
7 8 9
7 11 3
7 12 4
8 9 10
8 10 7
8 23 4
8 28 10
9 12 4
9 10 8
10 11 10
10 17 2
11 20 3
11 15 8
11 12 5
12 13 2
13 14 9
13 19 7
13 23 2
14 16 6
14 30 8
14 15 5
15 16 6
15 17 7
15 29 3
16 17 3
16 20 5
16 29 3
17 18 1
17 19 3
17 20 2
18 19 6
18 29 8
18 23 9
19 20 9
19 21 7
20 21 5
20 30 1
21 26 1
21 22 6
22 25 1
22 27 1
22 23 5
23 24 4
23 31 2
24 25 5
24 26 10
24 27 3
24 30 1
25 26 4
25 27 3
26 27 3
26 28 8
27 100000 100
27 28 10
27 29 6
28 100001 100
28 100004 100
28 29 4
28 31 3
29 100004 100
29 30 7
30 100000 100
30 100001 100
30 100002 100
30 100003 100
30 100004 100
30 31 5
31 100000 100
31 100002 100
31 100003 100
-2 1 100
-2 3 100
-5 3 100
-5 4 100
-4 0 100
-4 2 100
-4 4 100
-3 2 100
-3 3 100
-3 5 100
-1 0 100
-1 1 100
